,id,genre_name,original_language,original_title,release_year,vote_average,studio_name
0,0,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",en,ghost,1990,7.2,Paramount
1,1,"['Comedy', 'Family']",en,home alone,1990,7.4,20th Century Fox
2,2,"['Romance', 'Comedy']",en,pretty woman,1990,7.4,Touchstone Pictures
3,3,"['Adventure', 'Drama', 'Western']",en,dances with wolves,1990,7.9,Tig Productions
4,4,"['Action', 'Adventure', 'Science Fiction']",en,total recall,1990,7.3,Carolco Pictures
5,5,"['Adventure', 'Comedy', 'Science Fiction']",en,back to the future part iii,1990,7.5,Universal Pictures
6,6,"['Action', 'Thriller']",en,die hard 2,1990,6.9,20th Century Fox
7,7,"['Thriller', 'Crime', 'Mystery']",en,presumed innocent,1990,6.8,Warner Bros. Pictures
8,8,"['Science Fiction', 'Action', 'Adventure', 'Comedy', 'Family']",en,teenage mutant ninja turtles,1990,6.6,New Line Cinema
9,9,['Comedy'],en,kindergarten cop,1990,6.1,Imagine Entertainment
10,10,"['Action', 'Adventure', 'Thriller']",en,the hunt for red october,1990,7.4,Paramount
11,11,"['Adventure', 'Action', 'Drama']",en,days of thunder,1990,6.3,Paramount
12,12,"['Thriller', 'Action', 'Comedy', 'Crime', 'Drama']",en,another 48 hrs.,1990,6.0,Paramount
13,13,"['Action', 'Adventure', 'Comedy', 'Romance']",en,bird on a wire,1990,6.2,Universal Pictures
14,14,"['Crime', 'Drama', 'Thriller']",en,the godfather: part iii,1990,7.4,Paramount
15,15,['Drama'],en,rocky v,1990,5.7,United Artists
16,16,"['Adventure', 'Comedy', 'Crime']",en,dick tracy,1990,6.1,Touchstone Pictures
17,18,['Comedy'],en,problem child,1990,6.0,Imagine Entertainment
18,19,"['Drama', 'Science Fiction', 'Horror']",en,flatliners,1990,6.5,Columbia Pictures
19,20,"['Drama', 'Thriller']",en,misery,1990,7.7,Castle Rock Entertainment
20,21,"['Western', 'Adventure']",en,young guns ii,1990,6.5,20th Century Fox
21,22,"['Action', 'Adventure', 'Comedy', 'Drama']",en,air america,1990,5.8,Carolco Pictures
22,23,"['Science Fiction', 'Action', 'Thriller']",en,predator 2,1990,6.2,20th Century Fox
23,24,['Thriller'],en,pacific heights,1990,6.3,20th Century Fox
24,25,"['Comedy', 'Horror']",en,arachnophobia,1990,6.4,Amblin Entertainment
25,26,"['Fantasy', 'Drama', 'Romance']",en,edward scissorhands,1990,7.7,20th Century Fox
26,27,['Drama'],en,awakenings,1990,7.8,Parkes/Lasker productions
27,28,"['Action', 'Science Fiction', 'Thriller']",en,darkman,1990,6.4,Universal Pictures
28,29,"['Horror', 'Comedy', 'Action', 'Science Fiction']",en,tremors,1990,6.8,Universal Pictures
29,30,"['Romance', 'Comedy']",en,look who's talking too,1990,5.5,TriStar Pictures
30,31,"['Animation', 'Adventure', 'Family', 'Fantasy']",en,the rescuers down under,1990,6.6,Walt Disney Pictures
31,32,['Action'],en,hard to kill,1990,6.0,Warner Bros. Pictures
32,33,"['Drama', 'Crime']",en,goodfellas,1990,8.5,Winkler Films
33,34,"['Action', 'Crime']",en,marked for death,1990,6.0,20th Century Fox
34,35,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']",en,robocop 2,1990,5.9,Orion Pictures
35,36,"['Comedy', 'Horror', 'Fantasy']",en,gremlins 2: the new batch,1990,6.4,Amblin Entertainment
36,37,"['Comedy', 'Romance']",en,joe versus the volcano,1990,5.6,Amblin Entertainment
